[60:00] 你們買我的燕黃素果凍
[79:47] 很好吃哎很好吃
[79:48] 先上架
[79:49] 500都不用499
[79:50] 他巧克力不是甜的巧克力
[79:51] 好吃耶
[79:52] 很好吃
[79:53] 嗯高級的那個
[79:54] 然後所有的餅乾
[79:55] 外包裝家裡面餅乾
[79:56] 都有起起滴滴他們的地方
[79:58] 好不好
[79:58] 來
[79:59] a16加1一盒
