[00:00] 來來來開始囉 大家晚安
[00:05] 大家晚安 收發音樂
[00:07] 大家晚安大家好 來聯絡點一下
[00:11] 晚安晚安 來趕快進來趕快進來
[00:15] 在直播間就可以這樣大吵大鬧
[45:56] 好 來
[45:57] 有了
[45:58] 來
[45:58] 這不要送我們
[45:58] 豆拉麥的小方精
[46:00] 它的尺寸是二十五乘以二十五公分
[46:03] 然後裡面你們今天嘉義的話
[46:04] 裡面我跟你講
[46:05] 你會覺得是不是嘉義的話
[46:07] 會是一條一條
[46:08] 真的沒有
[46:08] 我們今天直接給大家
[46:10] 嘉義拿五條
[46:11] 五條再回家
[46:12] 五個的
[46:13] 五個的圖案
[46:14] 我都給大家看一下
[46:15] 這個是其中一個
[46:16] 它是做了一個那種
[46:17] 時光機的感覺
[46:19] 時光機它這邊是做個時鐘
[46:20] 然後尺寸是二十五乘二十五公分
[46:23] 然後這個是我們
[46:24] 左下角右下角有一個
[46:25] 有沒有很可愛的豆拉麥的刺繡
[46:28] 然後上面是做一個
[46:29] 豆拉麥配色的點點
[46:30] 超級無敵可愛
[46:31] 這是我們第二條
[46:32] 來
[46:33] 第三條是它的時光包巾
[46:36] 有沒有超級無敵可愛的
[46:37] 還有放大燈跟還沒貓貓
[46:39] 還有它的那個
[46:41] 又有講這種新的
[46:41] 不用對不對
[46:42] 來
[46:43] 超級無敵可愛
[46:43] 你們自己看一下
[46:44] 這是它的第三條
[46:45] 第四條就是我們的
[46:47] 有沒有方格造型的
[46:49] 然後下面格紋造型
[46:50] 下面還有一樣
[46:50] 它在吃桃蘿燒的刺繡
[46:52] 超級無敵可愛
[46:52] 我跟你講
[46:53] 我喜歡豆拉麥
[46:54] 這款不要錯過
[46:55] 不要錯過
[46:55] 然後
[46:56] 這個比較特別一點
[46:57] 它的材質是有對
[46:58] 它的營門
[46:59] 然後它
[46:59] 它的門是可以打開的哦
[47:02] 它是可以打開的營門
[47:03] 超級無敵可愛的
[47:05] 超級無敵可愛的
[47:06] 然後它整個造型
[47:08] 都是做那一種
[47:09] 就做比較特殊的紋路
[47:11] 特殊的紋路
[47:12] 五條
[47:13] 我跟你講
[47:13] 超級無敵划算
[47:15] 等一下加一
[47:16] 直接給大家五條
[47:19] 五條大回家
[47:20] 五條大回家
[47:21] 然後它都是百分之百
[47:22] 100%的層面
[47:23] 100%的層面
[47:24] 它本身是
[47:25] 日本這邊設計
[47:26] 然後大陸這邊製造
[47:28] 大陸製造的都
[47:29] 日本設計大陸製造
[47:30] 五條
[47:30] 等一下
[47:31] 我跟你講五條
[47:31] 你先聽一下選擇
[47:33] 就我們平常
[47:33] 你知道一條賣多少嗎
[47:34] 我跟你講
[47:35] 超級無敵可愛
[47:35] 你看這個門
[47:36] 這個門可以打開
[47:37] 而且裡面是做刺繡的
[47:39] 裡面都是刺繡的
[47:40] 每一條都有一個小的
[47:41] 還有一個刺繡的
[47:42] 然後加一就是給大家五條
[47:44] 我跟你講
[47:44] 你如果要日本製的東西
[47:46] 你真的買不到東西
[47:47] 來啦
[47:47] iPhone也不是日本製的
[47:48] 來啦
[47:49] 我直接開箱給大家啦
[47:50] 日本大部分東西
[47:51] 很多都是日本監製
[47:52] 然後中國製造
[47:53] 但是品質跟設計
[47:55] 都是由日本這邊的
[47:56] 整體包裝
[47:57] 我們都是從日本
[47:57] 他就是日本
[47:58] 他製作這邊的產品
[47:59] 每樣東西都要
[48:00] 是不是日本人
[48:01] 可能要自己來日本玩的時候
[48:02] 每樣東西認真看一下
[48:04] 來
[48:05] 因為現在中國的東西
[48:06] 也沒有不好
[48:06] 因為現在一直在進步
[48:08] 所以就看個人
[48:09] 因為這個超可愛的
[48:10] 我跟你講
[48:11] 這五條都超可愛的
[48:12] 這個要的朋友
[48:13] 等一下幫我打A-09嘉儀
[48:15] 來 我來
[48:16] 直接給大家啦
[48:18] 五九九帶回家
[48:19] 五九九
[48:20] 五條五九九帶回家
[48:23] 二十五成二十五
[48:24] 我們一百一之九
[48:26] 超可愛
[48:27] 他是手判
[48:27] 然後你可以拿來擦
[48:28] 他說你今天想要當
[48:29] 做擦手巾啊
[48:30] 然後你看
[48:31] 想要幹嘛都可以
[48:32] 這個下面
[48:33] Doraemon都是用
[48:34] 當抹布都不心疼
[48:35] 對
[48:36] Doraemon都是用刺繡的
[48:38] 質感非常非常好
[48:38] 我最喜歡這一條
[48:40] 他這個小小石頭
[48:41] Doraemon的扔一門
[48:42] 可以打開
[48:43] 然後他扔一門
[48:44] 這一條有做比較特殊的
[48:45] 那個材質的
[48:46] 然後這一個
[48:47] 它是沙巾
[48:47] 那個叫沙布巾的那種材質
[48:50] 沙布巾的那種材質
[48:51] 所有的Doraemon
[48:53] 都是做刺繡的
[48:54] 超級可愛
[48:55] 然後一樣是好事多
[48:56] 日本
[48:57] 日本Cosco的先訂
[48:59] 加一五條都帶回家
[49:01] 給大家五九九
[49:03] 現在是五條
[49:04] 不用選
[49:04] 真的是你來當抹布都
[49:06] 你來當抹布都吸不出口袋
[49:07] 我一定不是加二
[49:09] 加二十條回去
[49:10] 這個Doraemon
[49:11] 不怕加多的東西
[49:12] Doraemon在裡面
[49:14] 超可愛的
[49:15] 超可愛的
[49:16] 我覺得每一條都很可愛
[49:17] 這個是做點點款的
[49:19] 點點款的
[49:20] 都很可愛
[49:21] 這是一個小方精
[49:22] 一個小方精
[49:23] 然後這一條
[49:24] 特可愛
[49:26] 好不好
[49:26] 它的道具跟Doraemon
[49:29] 來
[49:29] A09加一
[49:30] 今天加一五條只要五九九
[49:33] 五九九
[49:34] 只要五九九
[49:35] 自己帶回家
[49:36] 這快速標給你們
[49:36] 這個沒有賺錢
[49:37] 真的是回饋給大家而已
[49:39] 回去給大家
[49:40] 這標誌也給大家五九九
[49:41] 一次帶五條
[49:42] Doraemon的小方精
[49:43] 帶回去
[49:44] 來
[49:45] 再來如果你覺得
[49:46] 小方精太小的
[49:48] 我們也有
[49:49] Snooby
[49:50] 好不好
[49:51] 然後這個我跟妳講
[49:51] 它是什麼樣的
[49:52] 它是枕頭泡
[49:54] 我記得它是枕頭泡
[49:56] 我看一下是不是
[49:57] 真的假的
[49:57] 我幫妳叫隻要出來
[49:58] 我看一下
[49:59] 我先確認一下
[50:00] 我記得它是
[50:01] 我記得它是枕頭泡
[50:02] 因為我那時候
[50:03] 是啊
[50:10] 你們如果想要好事多
[50:11] 什麼東西
[50:12] 我們旁邊有整欄
[50:14] 你們也可以在我們的
[50:15] 在我們的LINE社群
[50:16] 新朋友可以幫我們加入LINE社群
[50:18] 然後可以在我們LINE社群裡面
[50:20] 做許願
[50:20] 好不好
[50:21] 白蛋
[50:21] 它是日本的
[50:23] 新朋友加入VIP社群
[50:24] 然後裡面有一百
[50:26] 裡面有一百元的
[50:27] 新朋友購物金可以領
[50:28] 好不好
[50:29] 然後也可以在裡面
[50:29] 幫我們做許願
[50:31] 這做許願
[50:31] 很可愛
[50:32] 我跟你講
[50:32] 它裡面就是有兩個
[50:34] 好不好
[50:34] 然後兩個圖案不一樣
[50:36] 兩個圖案不一樣
[50:37] 你幫我拿一個
[50:38] 好
[50:38] 然後這那種毛巾料材質
[50:40] 然後你看這一個是
[50:41] Snooby趴著在睡覺
[50:43] 加胡勢托
[50:44] 然後你那一個是什麼圖案
[50:46] 這一個是
[50:46] 它一個是
[50:47] 一個一面是
[50:48] 它在趴在它的小樹屋上面的
[50:49] 不 小樹屋
[50:50] 它的小木屋上面的
[50:52] 然後另外一面是
[50:53] 它坐在小木屋上面
[50:54] 還有胡勢托陪著它的
[50:55] 真的耶
[50:56] 兩面都是不同的
[50:57] 兩面不一樣
[50:58] 然後讓我看一下
[50:59] 我的這一面好不好
[51:00] 哇
[51:01] 我這一面是這樣子
[51:02] 好可愛喔
[51:03] 它就
[51:04] 5
[51:04] 對
[51:05] 5
[51:05] 然後因為這是枕頭套
[51:06] 我跟你們講一下尺寸好不好
[51:08] 36乘以64
[51:10] 36乘以60尺
[51:11] 然後它是抗菌期的
[51:13] 然後有彈性的
[51:14] 有彈性的
[51:15] 就是可以套你的枕頭
[51:17] 基本上你九成的枕頭
[51:19] 都一心套一心
[51:19] 所以這是超級巨大的一種
[51:20] 它跟一般的枕頭套不一樣
[51:21] 它是沒有拉鍊的
[51:22] 然後兩面是開的
[51:24] 兩面是開的
[51:24] 就是超級可愛
[51:26] 那你說我今天不當個枕頭套
[51:27] 我要拿來當地墊可不可以
[51:28] 可以
[51:29] 你開心
[51:30] 你看你怎麼用都可以
[51:31] 它今天這枕頭套
[51:32] 它還是有專業
[51:33] 它是A9加抗菌彈性毛毛
[51:36] 毛巾料的
[51:37] 所以你們自己加起來
[51:37] 對 抗菌材質的
[51:39] 然後加一直接就是兩個
[51:40] 好不好
[51:41] 加一直接就兩個
[51:42] 兩個不一樣
[51:42] 沒錯
[51:43] 這個要的是A10
[51:45] 它尺寸是36乘以64
[51:46] 很舒服耶
[51:47] 很舒服
[51:48] 很幸福
[51:49] 好不好 很幸福
[51:50] 然後彈性
[51:51] 所以你不用擔心說
[51:52] 我的枕頭會不會包不進去
[51:54] 大家都會說
[51:54] 那我可以洗嗎
[51:55] 我跟你講
[51:56] 拉下來拿去洗
[51:57] 就沒問題了
[51:58] 沒問題
[51:58] 好不好
[51:58] 沒問題
[51:59] 很可愛
[52:00] 然後不管你翻來面
[52:01] 都很可愛
[52:02] 對 兩面都很可愛
[52:02] 今天A10加一
[52:04] 加一這一對
[52:04] 加一這一對
[52:06] 來 韋哥
[52:06] 今天你要怎麼開A10加一
[52:08] 好啦
[52:08] 今天給大家799再回家啦
[52:10] 799
[52:11] 沒有
[52:11] 我們三成加899
[52:12] 現在再給他們799
[52:13] 三成加899
[52:14] 799一個不用400塊耶
[52:15] 一個不用400塊
[52:16] 我們這百十
[52:17] 會比壽星的整頭套
[52:19] 它是有
[52:19] 它是有厚度
[52:20] 不是那種很薄很薄的一種
[52:21] 不是
[52:22] 它是A9
[52:23] AG加抗菌材質
[52:25] 然後你才賣兩個799
[52:28] 一個不用400塊
[52:29] 很方便你今天要
[52:30] 你等一下要穿
[52:31] 要把它穿到整頭套上面
[52:32] 或把它拿下來拿去洗
[52:33] 都超級無敵方便
[52:34] 大哥你看彈性很大
[52:36] 所以你要靠在整頭套上面
[52:37] 或者你覺得超級可愛的
[52:39] 你要拿來當一個地墊
[52:40] 當一個墊子什麼的都可以
[52:42] 但我覺得它整頭套真的很
[52:44] 很可愛又很划算
[52:46] 然後又有抗菌
[52:47] 好不好
[52:47] 又有抗菌
[52:48] 它如果把這邊
[52:49] 然後是各一個
[52:50] 它把它拆開
[52:51] 就變成大毛巾
[52:53] 大毛巾
[52:54] 就兩面不一樣
[52:55] 然後你會拿到
[52:55] 就我跟二哥手上的各一個
[52:57] 好不好
[52:58] A10加1
[52:59] 線上價值要799
[53:01] 是不是很誇張
[53:02] 799
[53:03] 好不好
[53:04] 是不是很誇張
[53:05] 只要799
[53:06] 來
[53:07] 再來
[53:08] 我們講了那麼久口渴了
[53:09] 我們要來喝個飲料
[53:11] 好不好
[53:11] 喝個飲料
[53:12] 來
[53:13] 這一樣是日本好市多限定的利頓
[53:15] 好不好
[53:16] 然後一盒裡面有三種
[53:18] 好不好
[53:19] 一盒裡面有三種
[53:20] 它一樣是三角立體茶包
[53:23] 好不好三角立體茶包
[53:25] 然後一袋裡面我看一下
[53:27] 一袋裡面有24口認真
[53:29] 一袋裡面
[53:30] 每一袋都有20支入
[53:32] 一盒一總共有72或68入
[53:34] 我看一下是不是
[53:35] 對不對
[53:36] 24
[53:37] 24
[53:37] 對
[53:38] 24x3
[53:39] 對
[53:40] 72
[53:40] 裡面就有72杯
[53:42] 72杯
[53:43] 好不好
[53:43] 裡面有72杯
[53:44] 然後它是冷泡冰茶
[53:45] 沒錯
[53:46] 好不好
[53:46] 冷泡冰茶
[53:47] 然後三角立體茶包
[53:49] 好不好
[53:49] 三角立體茶包
[53:51] 對
[53:51] 它總共有三種
[53:52] 三種
[53:53] 好喝耶
[53:53] 很清香
[53:55] 有粒盾
[53:55] 我那邊有粒盾的
[53:56] 粒盾
[53:57] 粒盾
[53:57] 但是有一點柑橘的
[53:59] 柑橘的
[54:00] 來
[54:01] 我跟你們講有哪三種口味
[54:02] 好不好
[54:03] 有我們的
[54:04] 伯爵紅茶是這個
[54:05] 伯爵紅茶
[54:07] 粒盾的伯爵紅茶
[54:08] 蜜桃陳香綠茶
[54:10] 蜜桃
[54:10] 就剛剛小香幫我泡的
[54:12] 蜜桃陳香綠茶
[54:13] 很清爽的
[54:14] 綜合水果茶
[54:16] 然後這邊有寫
[54:17] 就是如果你想要泡杯子
[54:19] 就加200c.c.
[54:20] 你想要泡在這種水壺500c.c.
[54:23] 你想要加1000c.c.的時候
[54:25] 後面有一些說明
[54:25] 靜置三分鐘就可以了
[54:27] 後面有一些說明
[54:28] 那每一種口味都有來到
[54:29] 24代
[54:30] 加1可以泡72包
[54:32] 效期到2028年1月
[54:34] 而且你不要問我
[54:35] 可不可以回沖
[54:36] 反正你就自己
[54:37] 你覺得沒有味道
[54:38] 你覺得可以回沖
[54:39] 看看他覺得沒有味道
[54:41] 就換掉
[54:41] 好不好
[54:42] 就換掉
[54:43] 來
[54:43] 這個超值很划算耶
[54:44] 好不好
[54:45] 這個要的幫我打A11
[54:47] A11我想喝喝看
[54:48] 我們隨便講
[54:49] 馬外面一杯
[54:50] 就算你今天去超商
[54:52] 買一個立頓的
[54:52] 一罐的飲料
[54:54] 要不要35 45
[54:57] 35好了
[54:57] 我們就算35
[54:58] 你買一罐
[54:59] 去超商小七
[54:59] 買一罐立頓的飲料
[55:01] 35塊
[55:01] 要
[55:02] 那我們這個是72包
[55:03] 72包
[55:04] 你這盒要兩千
[55:05] 兩千五百塊
[55:06] 來
[55:07] 今天不可能跟你講多塊
[55:08] 來
[55:08] 今天要的朋友
[55:09] 我們是A11
[55:10] 好不好
[55:11] 三角莉莉茶包
[55:12] 然後我覺得喝起來
[55:13] 非常
[55:13] 很清爽
[55:14] 非常清爽的感覺
[55:15] 沒錯
[55:15] 然後是冷泡茶
[55:16] 冷泡茶
[55:17] 來 今天
[55:18] 也不用什麼兩千多塊了
[55:20] 今天我們這樣子
[55:22] 一千塊都不要
[55:23] 好
[55:24] 一千塊都不要
[55:25] 來
[55:25] 一千塊都不要
[55:25] 你說的
[55:26] A11加一
[55:27] 如果你很喜歡立頓的茶
[55:29] 就特別講了
[55:31] 好不好
[55:31] 有紅茶 綠茶 水果茶
[55:33] 三種都沒有了
[55:34] 都沒問題
[55:34] 來
[55:35] 今天要的朋友
[55:36] 今天A11加一茶
[55:37] 冷泡茶
[55:38] 冷泡茶
[55:38] 今天A11加一
[55:40] 今天加一盒的朋友
[55:42] 給大家690塊
[55:44] 690
[55:45] 來 裡面剛剛說72包
[55:47] 你知道現在一杯不用10塊
[55:48] 一杯不用10塊
[55:50] 來 你今天
[55:51] A11給A11對不對
[55:53] A11幫我加兩盒以上的朋友
[55:55] 兩盒以上
[55:55] 我們剛剛這個才該多少
[55:57] 開690
[55:58] 一盒才690
[55:59] 來 加兩盒以上一盒599
[56:02] 599
[56:03] 來 72包
[56:05] 你瘋了
[56:06] 一杯多少錢 8塊
[56:08] 8塊
[56:09] 你們在撐手嗎
[56:10] 趕快直接A11加盒
[56:12] 8塊錢
[56:14] 太扯了
[56:14] 我覺得你們喜歡
[56:15] 你們可以自己加2加3加起來
[56:17] 因為我覺得好事多
[56:18] 都做這種家庭號禮盒包包
[56:20] 所以你要自己喝
[56:21] 送禮什麼的都可以
[56:22] 而且一次擁有三種茶
[56:24] 冷泡茶三種茶
[56:26] 簡簡單單你放在那個
[56:28] 放在水裡面咬一咬也可以
[56:30] 都沒有問題
[56:31] 好不好 都沒有問題
[56:32] 送給價格也很沒有問題
[56:35] 價格也很沒有問題
[56:36] 加了以上一包給大家
[56:37] 一盒給大家599
[56:39] 1杯8塊
[56:39] 等於說你泡一杯
[56:41] 一杯這樣子
[56:42] 8塊錢
[56:43] 然後你加一盒的話
[56:44] 總共有72種
[56:45] 72有三種72包
[56:48] 三種各24包
[56:49] 對各24包來
[56:50] 這個是我們的伯爵
[56:51] 紅茶口味的
[56:53] 然後這個是我們的
[56:54] 蜜桃綠茶
[56:55] 蜜桃綠
[56:56] 蜜桃橙香綠茶
[56:58] 橙香綠茶很好
[56:58] 然後這是我們綜合所有
[57:00] 它就是甜果茶
[57:01] 這是甜果茶
[57:02] 就是那個莓果味道的那種
[57:03] 大家都會喜歡的
[57:04] 這些買康布茶喜歡莓果味道
[57:06] 我跟你講你這幾款
[57:07] 你都會超級喜歡的
[57:08] 但它就是一般的泡茶
[57:11] 我真的覺得它很清爽
[57:12] 很好喝
[57:14] 這是72入嗎
[57:15] 對 72入
[57:16] 24 24 24
[57:17] 對三包的24
[57:19] 三種口味各24包
[57:21] 然後它是三角荔體茶包
[57:23] 它再給你們看一次
[57:24] 三角荔體茶包
[57:26] 然後冷泡就可以了
[57:27] 然後你再加冰塊
[57:29] 變冰茶更好喝
[57:31] 好不好變冰茶更好喝
[57:32] 所以它有紅茶綠茶水果茶
[57:34] 三種茶通都有
[57:35] 今天賣你一杯不用8塊錢
[57:37] 不用8塊錢
[57:38] 直接組合加加起來了
[57:40] 好不好直接組合加加起來
[57:42] 來再來我要出兩種
[57:43] 非常非常厲害的
[57:45] 一樣是我們的新款的
[57:47] 新款的
[57:49] 那個一樣是那種味覺糖系列的
[57:51] 你要先來的
[57:52] 機能性的糖果好不好
[57:53] 機能性
[57:54] 先來葉皇宿這個人許願
[57:55] 那一個
[57:56] 葉皇宿
[57:57] 有人許願
[57:58] 這是顧眼睛的
[58:00] 好不好
[58:00] 顧眼睛
[58:01] 這個是新款
[58:02] 新款
[58:03] 我們等一下
[58:03] 我們會有這個
[58:04] 顧眼睛的跟綜合維他命
[58:06] 好不好
[58:07] 我跟你講這個也很搶手
[58:09] 這個我們今天在那邊的時候
[58:10] 拿各一袋
[58:11] 在推車裡
[58:12] 然後呢
[58:13] 我們播完之後
[58:14] 要拿回去
[58:15] 歸位的時候
[58:16] 抱歉
[58:17] 全部買
[58:17] 全部被買一包都沒有
[58:19] 全部被買光了
[58:20] 它一樣是日本
[58:21] 斯多縣定的味覺糖
[58:23] 然後它是獨立包裝獨立包裝
[58:25] 裡面有九十顆嗎
[58:27] 對九十顆
[58:28] 九十顆獨立包裝
[58:29] 然後一天兩顆一天兩粒
[58:31] 所以一天可以吃兩顆
[58:33] 芒果口味
[58:34] 好不好
[58:34] 所以如果你是對芒果過敏的
[58:36] 這個就比較不適合
[58:37] 因為它是芒果口味
[58:38] 如果如果可以吃芒果的人
[58:40] 這個都可以吃
[58:41] 好不好
[58:41] 這個都可以吃
[58:42] 裡面就是有燕黃素
[58:44] 然後呢
[58:44] 燕黃素它這樣
[58:45] 可以呢
[58:45] 對眼睛好
[58:46] 然後預防我們的黃斑不併變
[58:48] 好
[58:49] 來
[58:49] 然後它是跟這樣子
[58:50] 給你們看
[58:51] 它是有點像牛奶糖的那種
[58:52] 好不好
[58:53] 牛奶糖的這種材質
[58:55] 不是材質
[58:56] 牛奶糖的這種質地
[58:57] 好不好
[58:58] 所以是一百八十顆
[59:00] 一百八十顆
[59:01] 一百八十顆
[59:01] 因為一天兩顆
[59:02] 裡面有一百八十顆
[59:03] 對
[59:04] 最近你講
[59:05] 我看一下
[59:06] 對
[59:06] 我在看
[59:07] 好吃耶
[59:08] 然後它裡面有夾青
[59:09] 芒果夾青
[59:10] 芒果夾青
[59:11] 芒果夾青
[59:12] 然後裡面有那個
[59:13] 燕黃素的含量有四十毫克
[59:16] 好不好
[59:16] 燕黃素的含量是十毫克
[59:18] 那燕黃素一天
[59:19] 最多就是吃三十毫克
[59:20] 所以你一天吃兩顆
[59:21] 其實就OK
[59:22] 我們從食物裡面
[59:23] 也會攝取燕黃素
[59:25] 午餐長
[59:25] 那就是茶
[59:26] 你要什麼時候喝
[59:27] 你就什麼時候喝
[59:27] 剛剛那個就是茶
[59:28] 你喜歡什麼時候
[59:29] 敷紅茶 綠茶水果茶
[59:31] 你開心的時候
[59:32] 你就可以喝
[59:32] 那個沒有規定
[59:33] 什麼時候喝
[59:34] 它一包裡面就有兩粒
[59:35] 所以是一百八十顆
[59:36] 但是還是
[59:37] 我剛剛拿的
[59:38] 我看一下
[59:41] 芒果口味的
[59:44] 然後裡面就只有燕黃素的
[59:46] 燕黃素的材質在裡面
[59:49] 吃起來是像
[59:50] 一百八十顆
[59:52] 兩粒一樣的
[59:52] 一百八十顆
[59:53] 願意聽兩粒
[59:54] 然後這個一袋
[59:55] 就是三個月份
[59:56] 三個月份
[59:57] 好不好
[59:57] 雖然我很喜歡
[59:58] 很希望
[59:59] 你很喜歡
[60:00] 你們買我的燕黃素果凍
[60:01] 但如果呢
[60:02] 你今天想要嘗試看看
[60:04] 好市多限定的這種
[60:05] 燕黃素夾心的保健軟糖
[60:07] 也可以嘗試看看
[60:09] 他吃起來是像那種
[60:10] 牛奶糖口味的
[60:11] 牛奶小熊蚊的產品
[60:14] 沒有了
[60:15] 這兩天過兩天看看
[60:17] 好不好
[60:17] 明後天幫我留意看看
[60:19] 好
[60:20] 今天好像沒有
[60:21] 今天小熊蚊蚊蚊的都出完了
[60:22] 待會請起立地的
[60:24] 好不好
[60:24] 待會請起立地的
[60:25] 然後小熊蚊蚊蚊蚊
[60:27] 一百週年天來
[60:27] 小布光網有一系列的商品
[60:29] 你也可以去看一下
[60:30] 來
[60:31] 這個我再講一次
[60:31] 裡面有180顆
[60:33] 10MG的燕黃素
[60:35] 給我一個
[60:35] 每天兩顆有10MG的燕黃素
[60:39] 來
[60:39] 是軟糖沒錯
[60:41] 好不好 是軟糖
[60:42] 然後是芒果口味的
[60:43] 芒果口味的
[60:43] 來 這樣子打開給你們看
[60:45] 比較清楚一點
[60:47] 它是這樣子
[60:48] 然後裡面是芒果夾心
[60:50] 然後裡面是燕黃素
[60:51] 裡面是燕黃素
[60:53] 來
[60:53] 今天要的
[60:54] 我們就想要快速
[60:55] 擠醉上可以吃
[60:56] 幫我看一下
[60:57] 好
[60:59] 還是那個
[61:00] 它沒有特別
[61:00] 它就是那一道
[61:01] 小朋友會吃糖果就可以
[61:02] 對
[61:03] 小朋友可以吃糖果就可以
[61:05] 小朋友會吃糖果就可以了
[61:07] 然後呢
[61:07] 它裡面總共就是一百
[61:09] 三個月份量
[61:10] 好不好
[61:11] 三個月份量
[61:12] 芒果口味
[61:13] 芒果口味
[61:14] 不是
[61:14] 就是像牛奶糖那種
[61:16] 那種
[61:16] 那種有點嚼勁的那種感覺
[61:19] 好不好
[61:19] 它就是含著
[61:20] 然後到最後像牛奶糖那樣
[61:21] 你要嚼一嚼
[61:22] 然後把它化掉再吞下去的
[61:24] 來
[61:25] A1 2 1
[61:26] 軟糖黏在包裝裡面怎麼辦
[61:28] 就拿出來
[61:30] 天氣太熱
[61:31] 它才會黏在包裝裡面
[61:33] 就把它拿出來吃就好了
[61:35] 就把它拿出來吃就好了
[61:36] 來
[61:37] 後面是莓果麥片嗎
[61:38] 後面這個很厲害
[61:39] 這個叫隔日
[61:40] 我有點忘記了
[61:41] 隔日優格
[61:43] 優格哪裡面也是奇牙籽
[61:44] 超紅的
[61:44] 因為這整
[61:45] 這整架都是別人的
[61:47] 沒錯
[61:47] 好不好
[61:48] 都是別人
[61:48] 整架都是人家賣的
[61:49] 等一下我會幫你們介紹
[61:51] 好不好
[61:51] 來
[61:52] 這個呢
[61:52] 要的幫我打
[61:53] A1 2
[61:54] 好不好
[61:55] A1 2加1
[61:56] A1 2加1
[61:57] 來
[61:58] 今天要的朋友
[61:58] 這樣一整袋吃三個月
[62:00] 好不好
[62:01] 一整袋吃三個月
[62:02] 來要的朋友
[62:03] 今天三成價1099
[62:05] 線上價990塊帶回家
[62:07] 990塊
[62:09] 990塊三個月
[62:10] 這個包真的很缺貨
[62:11] 我剛剛網路找
[62:13] 大家都寫
[62:14] 花330塊
[62:15] 大家在那邊寫缺貨
[62:16] 都缺貨啦
[62:16] 對 人家這個包都很缺貨
[62:17] 因為我們今天去的時候
[62:18] 拿樣品的時候
[62:19] 都還一整袋一整落
[62:21] 對
[62:21] 然後我今天要拿回去放的時候
[62:23] 已經完全沒有了
[62:24] 好不好
[62:24] 來
[62:25] 如果你想要呢
[62:25] 一樣來個味覺糖
[62:27] 吃糖果
[62:28] 就可以補充葉黃素
[62:29] 很香耶
[62:30] 我可以吃一顆
[62:31] 吃糖果就可以補充葉黃素
[62:32] 就可以參考這個
[62:33] 然後呢
[62:36] 那小朋友要吃藥
[62:37] 小朋友會吃糖果
[62:39] 會
[62:39] 會咀嚼糖果的
[62:40] 才可以吃
[62:41] 好不好
[62:41] 一天就是兩顆
[62:43] 一天就是兩顆
[62:44] 來
[62:45] 一二加一
[62:46] 今天三成價
[62:47] 990
[62:48] 線上價
[62:49] 線上價是990
[62:50] 三成價1099
[62:52] 好啦
[62:52] 那不用啦
[62:53] 線
[62:53] 三成價990啦
[62:55] 線上價給大家899啦
[62:57] 好不好
[62:58] 線上價899啦
[63:00] 很好吃耶
[63:01] 然後呢
[63:01] 吃三個月
[63:02] 讓你一個月
[63:03] 不用300塊
[63:04] 我的天啊
[63:06] 好不好
[63:06] 那小朋友會跟妳講的
[63:08] 一天只要
[63:08] 一天不用10塊錢
[63:10] 好不好
[63:11] 一天不用10塊錢
[63:12] 很好吃耶
[63:13] 最新的一樣推薦給大家
[63:15] 你們如果有喜歡
[63:16] 有需要
[63:17] 想要補充葉黃素的
[63:18] 從那個
[63:19] 我喜歡
[63:19] 夾心軟糖裡面
[63:21] 去補充葉黃素的
[63:22] 這個就可以加
[63:23] 好不好
[63:24] 來
[63:24] 要的趕快加
[63:25] a12加1
[63:26] 這很好吃
[63:27] 你們也可以記在一起
[63:28] 它好吃
[63:28] 就可以幫你補充的葉黃素
[63:30] 自己加起來
[63:31] 來
[63:31] 再來這個更厲害了
[63:33] 綜合維他命
[63:35] 好不好
[63:36] 綜合維他命
[63:37] 這真的是懶人必備
[63:39] 好不好
[63:39] 懶人必備
[63:41] 它是一樣是
[63:41] 夾連帶包裝
[63:43] 第四磷肉
[63:44] 一樣是跟剛剛一樣
[63:45] 軟糖式的
[63:46] 軟糖式的
[63:47] 我先打開給你們看
[63:48] 然後一樣一天吃兩顆
[63:50] 那裡面有
[63:51] 11種的綜合維他命
[63:53] 好不好
[63:54] 11種的綜合維他命
[63:55] 然後給你們看一下
[63:57] 它是這樣子
[63:58] 它是一樣裡面有夾心
[64:00] 夾在裡面
[64:01] 然後是檸檬口味的
[64:02] 好啦
[64:03] 所以檸檬口味
[64:04] 我來幫你們試一下
[64:07] 檸檬口味的
[64:08] 然後裡面有
[64:09] 維生素A D E B1 B2
[64:11] B6 葉酸
[64:13] 普陶又可味
[64:14] 普陶又可味的
[64:16] B
[64:17] 我再講一次
[64:18] B1 B
[64:19] 怎樣
[64:20] 維他命A 維他命D
[64:21] 維他命E 維他命B1
[64:23] 維他命B2
[64:24] 維他命B6
[64:24] 維他命B12 葉酸
[64:26] 維他命C
[64:27] 還有看不懂日文
[64:27] 你要不要翻一下
[64:30] 所以它這個
[64:31] 11種的綜合維他命
[64:33] 然後一樣一天吃
[64:34] 兩顆
[64:36] 然後呢
[64:36] 吃等於一袋可以吃三個月
[64:39] 哇 也是可以吃三個月哦
[64:40] 一樣嘛
[64:41] 就像我跟你們講嘛
[64:42] 如果今天不知道自己呢
[64:44] 缺少什麼
[64:46] 缺少哪一種的維生素
[64:48] 對
[64:49] 就可以直接做補充
[64:50] 好不好
[64:51] 來
[64:51] 這個呢
[64:51] 有喜歡
[64:52] 然後
[64:53] 我覺得很好吃
[64:53] 他們家常常會做很好吃
